'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'SHOOK LIN & BOK LLP', '124500'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'TITO ISAAC & CO LLP', '66000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'WONGPARTNERSHIP LLP', '152000'
'CEA000ETT16000003', 'Council for Estate Agencies', 'APPOINTMENT OF AUDITOR FOR COUNCIL FOR ESTATE AGENCIES FOR THE AUDIT OF FINANCIAL STATEMENTS FOR FIVE (5) FINANCIAL YEARS', '2017-02-01', 'Awarded to Suppliers', 'ASSURANCE PARTNERS LLP', '93750'
'CEA000ETT17300001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR RENOVATION (DESIGN AND BUILD), RELOCATION AND REINSTATEMENT WORKS', '2017-11-17', 'Awarded to Suppliers', 'SPACELOGIC PTE. LTD.', '853696'
'CEA000ETT15000003', 'Council for Estate Agencies', 'OPEN TENDER FOR APPOINTMENT OF A RESEARCH CONSULTANT TO CONDUCT A PUBLIC PERCEPTION SURVEY ON THE REAL ESTATE AGENCY INDUSTRY', '2015-07-22', 'Awarded to Suppliers', 'ERNST & YOUNG ADVISORY PTE. LTD.', '198000'
'CEA000ETT15000006', 'Council for Estate Agencies', 'ITT for the appointment of a new Appointed Examination Administrator (AEA) for the administration of the RES and REA examinations for a period of 3 years and 3 months.', '2015-08-26', 'Awarded to Suppliers', 'NTUC LEARNINGHUB PTE. LTD.', '3167400'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'ALLEN & GLEDHILL LLP', '281000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'BIRD & BIRD ATMD LLP', '198000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'COLIN NG & PARTNERS LLP', '261000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'DONALDSON & BURKINSHAW LLP', '338000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'GATEWAY LAW CORPORATION', '21000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'LEE & LEE', '278000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'RHTLAW TAYLOR WESSING LLP', '109500'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'SHOOK LIN & BOK LLP', '124500'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'TITO ISAAC & CO LLP', '66000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'WONGPARTNERSHIP LLP', '152000'
'CEA000ETT16000003', 'Council for Estate Agencies', 'APPOINTMENT OF AUDITOR FOR COUNCIL FOR ESTATE AGENCIES FOR THE AUDIT OF FINANCIAL STATEMENTS FOR FIVE (5) FINANCIAL YEARS', '2017-02-01', 'Awarded to Suppliers', 'ASSURANCE PARTNERS LLP', '93750'
'CEA000ETT17300001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR RENOVATION (DESIGN AND BUILD), RELOCATION AND REINSTATEMENT WORKS', '2017-11-17', 'Awarded to Suppliers', 'SPACELOGIC PTE. LTD.', '853696'
'CEA000ETT15000003', 'Council for Estate Agencies', 'OPEN TENDER FOR APPOINTMENT OF A RESEARCH CONSULTANT TO CONDUCT A PUBLIC PERCEPTION SURVEY ON THE REAL ESTATE AGENCY INDUSTRY', '2015-07-22', 'Awarded to Suppliers', 'ERNST & YOUNG ADVISORY PTE. LTD.', '198000'
'CEA000ETT15000006', 'Council for Estate Agencies', 'ITT for the appointment of a new Appointed Examination Administrator (AEA) for the administration of the RES and REA examinations for a period of 3 years and 3 months.', '2015-08-26', 'Awarded to Suppliers', 'NTUC LEARNINGHUB PTE. LTD.', '3167400'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'ALLEN & GLEDHILL LLP', '281000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'BIRD & BIRD ATMD LLP', '198000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'COLIN NG & PARTNERS LLP', '261000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'DONALDSON & BURKINSHAW LLP', '338000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'GATEWAY LAW CORPORATION', '21000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'LEE & LEE', '278000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'RHTLAW TAYLOR WESSING LLP', '109500'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'SHOOK LIN & BOK LLP', '124500'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'TITO ISAAC & CO LLP', '66000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'WONGPARTNERSHIP LLP', '152000'
'CEA000ETT16000003', 'Council for Estate Agencies', 'APPOINTMENT OF AUDITOR FOR COUNCIL FOR ESTATE AGENCIES FOR THE AUDIT OF FINANCIAL STATEMENTS FOR FIVE (5) FINANCIAL YEARS', '2017-02-01', 'Awarded to Suppliers', 'ASSURANCE PARTNERS LLP', '93750'
'CEA000ETT17300001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR RENOVATION (DESIGN AND BUILD), RELOCATION AND REINSTATEMENT WORKS', '2017-11-17', 'Awarded to Suppliers', 'SPACELOGIC PTE. LTD.', '853696'
'CEA000ETT15000003', 'Council for Estate Agencies', 'OPEN TENDER FOR APPOINTMENT OF A RESEARCH CONSULTANT TO CONDUCT A PUBLIC PERCEPTION SURVEY ON THE REAL ESTATE AGENCY INDUSTRY', '2015-07-22', 'Awarded to Suppliers', 'ERNST & YOUNG ADVISORY PTE. LTD.', '198000'
'CEA000ETT15000006', 'Council for Estate Agencies', 'ITT for the appointment of a new Appointed Examination Administrator (AEA) for the administration of the RES and REA examinations for a period of 3 years and 3 months.', '2015-08-26', 'Awarded to Suppliers', 'NTUC LEARNINGHUB PTE. LTD.', '3167400'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'ALLEN & GLEDHILL LLP', '281000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'BIRD & BIRD ATMD LLP', '198000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'COLIN NG & PARTNERS LLP', '261000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'DONALDSON & BURKINSHAW LLP', '338000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'GATEWAY LAW CORPORATION', '21000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'LEE & LEE', '278000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'RHTLAW TAYLOR WESSING LLP', '109500'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'SHOOK LIN & BOK LLP', '124500'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'TITO ISAAC & CO LLP', '66000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'WONGPARTNERSHIP LLP', '152000'
'CEA000ETT16000003', 'Council for Estate Agencies', 'APPOINTMENT OF AUDITOR FOR COUNCIL FOR ESTATE AGENCIES FOR THE AUDIT OF FINANCIAL STATEMENTS FOR FIVE (5) FINANCIAL YEARS', '2017-02-01', 'Awarded to Suppliers', 'ASSURANCE PARTNERS LLP', '93750'
'CEA000ETT17300001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR RENOVATION (DESIGN AND BUILD), RELOCATION AND REINSTATEMENT WORKS', '2017-11-17', 'Awarded to Suppliers', 'SPACELOGIC PTE. LTD.', '853696'
'CEA000ETT15000003', 'Council for Estate Agencies', 'OPEN TENDER FOR APPOINTMENT OF A RESEARCH CONSULTANT TO CONDUCT A PUBLIC PERCEPTION SURVEY ON THE REAL ESTATE AGENCY INDUSTRY', '2015-07-22', 'Awarded to Suppliers', 'ERNST & YOUNG ADVISORY PTE. LTD.', '198000'
'CEA000ETT15000006', 'Council for Estate Agencies', 'ITT for the appointment of a new Appointed Examination Administrator (AEA) for the administration of the RES and REA examinations for a period of 3 years and 3 months.', '2015-08-26', 'Awarded to Suppliers', 'NTUC LEARNINGHUB PTE. LTD.', '3167400'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'ALLEN & GLEDHILL LLP', '281000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'BIRD & BIRD ATMD LLP', '198000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'COLIN NG & PARTNERS LLP', '261000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'DONALDSON & BURKINSHAW LLP', '338000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'GATEWAY LAW CORPORATION', '21000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'LEE & LEE', '278000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'RHTLAW TAYLOR WESSING LLP', '109500'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'SHOOK LIN & BOK LLP', '124500'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'TITO ISAAC & CO LLP', '66000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'WONGPARTNERSHIP LLP', '152000'
'CEA000ETT16000003', 'Council for Estate Agencies', 'APPOINTMENT OF AUDITOR FOR COUNCIL FOR ESTATE AGENCIES FOR THE AUDIT OF FINANCIAL STATEMENTS FOR FIVE (5) FINANCIAL YEARS', '2017-02-01', 'Awarded to Suppliers', 'ASSURANCE PARTNERS LLP', '93750'
'CEA000ETT17300001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR RENOVATION (DESIGN AND BUILD), RELOCATION AND REINSTATEMENT WORKS', '2017-11-17', 'Awarded to Suppliers', 'SPACELOGIC PTE. LTD.', '853696'
'CEA000ETT15000003', 'Council for Estate Agencies', 'OPEN TENDER FOR APPOINTMENT OF A RESEARCH CONSULTANT TO CONDUCT A PUBLIC PERCEPTION SURVEY ON THE REAL ESTATE AGENCY INDUSTRY', '2015-07-22', 'Awarded to Suppliers', 'ERNST & YOUNG ADVISORY PTE. LTD.', '198000'
'CEA000ETT15000006', 'Council for Estate Agencies', 'ITT for the appointment of a new Appointed Examination Administrator (AEA) for the administration of the RES and REA examinations for a period of 3 years and 3 months.', '2015-08-26', 'Awarded to Suppliers', 'NTUC LEARNINGHUB PTE. LTD.', '3167400'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'ALLEN & GLEDHILL LLP', '281000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'BIRD & BIRD ATMD LLP', '198000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'COLIN NG & PARTNERS LLP', '261000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'DONALDSON & BURKINSHAW LLP', '338000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'GATEWAY LAW CORPORATION', '21000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'LEE & LEE', '278000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'RHTLAW TAYLOR WESSING LLP', '109500'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'SHOOK LIN & BOK LLP', '124500'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'TITO ISAAC & CO LLP', '66000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'WONGPARTNERSHIP LLP', '152000'
'CEA000ETT16000003', 'Council for Estate Agencies', 'APPOINTMENT OF AUDITOR FOR COUNCIL FOR ESTATE AGENCIES FOR THE AUDIT OF FINANCIAL STATEMENTS FOR FIVE (5) FINANCIAL YEARS', '2017-02-01', 'Awarded to Suppliers', 'ASSURANCE PARTNERS LLP', '93750'
'CEA000ETT17300001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR RENOVATION (DESIGN AND BUILD), RELOCATION AND REINSTATEMENT WORKS', '2017-11-17', 'Awarded to Suppliers', 'SPACELOGIC PTE. LTD.', '853696'
'CEA000ETT15000003', 'Council for Estate Agencies', 'OPEN TENDER FOR APPOINTMENT OF A RESEARCH CONSULTANT TO CONDUCT A PUBLIC PERCEPTION SURVEY ON THE REAL ESTATE AGENCY INDUSTRY', '2015-07-22', 'Awarded to Suppliers', 'ERNST & YOUNG ADVISORY PTE. LTD.', '198000'
'CEA000ETT15000006', 'Council for Estate Agencies', 'ITT for the appointment of a new Appointed Examination Administrator (AEA) for the administration of the RES and REA examinations for a period of 3 years and 3 months.', '2015-08-26', 'Awarded to Suppliers', 'NTUC LEARNINGHUB PTE. LTD.', '3167400'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'ALLEN & GLEDHILL LLP', '281000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'BIRD & BIRD ATMD LLP', '198000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'COLIN NG & PARTNERS LLP', '261000'
'CEA000ETT16000001', 'Council for Estate Agencies', 'INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES', '2016-09-27', 'Awarded to Suppliers', 'DONALDSON & BURKINSHAW LLP', '338000'
